timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1550532203353,834,JDBC Connection Request,200,OK,Thread Group 1-5,text,true, DB_UP_AND_RUNNING ,9,0,10,10,null,833,0,787
1550532203125,1047,JDBC Connection Request,200,OK,Thread Group 1-3,text,true, DB_UP_AND_RUNNING ,9,0,10,10,null,1047,0,995
1550532202764,1408,JDBC Connection Request,200,OK,Thread Group 1-1,text,true, DB_UP_AND_RUNNING ,9,0,10,10,null,1408,0,1356
1550532203230,970,JDBC Connection Request,200,OK,Thread Group 1-4,text,true, DB_UP_AND_RUNNING ,9,0,10,10,null,969,0,920
1550532202930,1242,JDBC Connection Request,200,OK,Thread Group 1-2,text,true, DB_UP_AND_RUNNING ,9,0,10,10,null,1242,0,1193
1550532203503,915,JDBC Connection Request,200,OK,Thread Group 1-6,text,true, DB_UP_AND_RUNNING ,9,0,6,6,null,915,0,777
1550532203613,871,JDBC Connection Request,200,OK,Thread Group 1-7,text,true, DB_UP_AND_RUNNING ,9,0,5,5,null,871,0,823
1550532203754,919,JDBC Connection Request,200,OK,Thread Group 1-8,text,true, DB_UP_AND_RUNNING ,9,0,5,5,null,918,0,781
1550532203885,807,JDBC Connection Request,200,OK,Thread Group 1-9,text,true, DB_UP_AND_RUNNING ,9,0,4,4,null,807,0,763
1550532203998,955,JDBC Connection Request,200,OK,Thread Group 1-10,text,true, DB_UP_AND_RUNNING ,9,0,1,1,null,954,0,804
